"","영화명","개봉일","누적관객수","스크린수","상영횟수","대표국적","배급사","17371"
"3006","라 보엠","43191","0","4","7","영국","에스디시코리아 주식회사",2018-04-09
"3007","방문/최후의 만찬 - Made in Jeonju 4월",NA,"0","1","1","한국",NA,2018-04-09
"3008","제9회 대구사회복지영화제 <U+2013> 독립단편다큐 2",NA,"0","1","1","한국",NA,2018-04-09
"3009","기억을 잃어버린 때",NA,"0","1","1","일본",NA,2018-04-09
"3010","제9회 대구사회복지영화제 <U+2013> 소나기+볼링블링",NA,"0","1","1","한국",NA,2018-04-09
"3011","제9회 대구사회복지영화제 <U+2013> 그러나...복지를 버리는 시대로+또 하나의 교육",NA,"0","1","1","일본",NA,2018-04-09
"3012","그가 없는 8월이",NA,"0","1","1","일본",NA,2018-04-09
"3013","제9회 대구사회복지영화제 <U+2013> 독립단편애니",NA,"0","1","1","한국",NA,2018-04-09
"3014","제9회 대구사회복지영화제 <U+2013> 환경과 복지: 충돌하는 세계 단편모음",NA,"0","1","1","기타",NA,2018-04-09
"3015","제9회 대구사회복지영화제 <U+2013> #봉기하라+체르노빌의 할머니들",NA,"0","1","1","기타",NA,2018-04-09
"3016","제9회 대구사회복지영화제 <U+2013> 버차이나 모놀로그+우리가 여기에 있다",NA,"0","1","1","중국",NA,2018-04-09
"3017","제9회 대구사회복지영화제 <U+2013> 복지와 정치 : 소수자들의 정치학 단편모음",NA,"0","1","1","기타",NA,2018-04-09
"3018","제9회 대구사회복지영화제 <U+2013> 투 러시아 위드 러브+급진예술과 행동강령",NA,"0","1","1","기타",NA,2018-04-09
"3026","곤지암","43187","2248464","989","34627","한국","(주)쇼박스",2018-04-02
"3027","레디 플레이어 원","43187","1726072","982","25949","미국","워너브러더스 코리아(주)",2018-04-02
"3028","바람 바람 바람","43195","616978","985","17331","한국","(주)넥스트엔터테인먼트월드(NEW)",2018-04-02
"3029","지금 만나러 갑니다","43173","2525778","681","13442","한국","롯데쇼핑㈜롯데엔터테인먼트",2018-04-02
"3030","덕구","43195","137853","544","6511","한국","메가박스(주)플러스엠",2018-04-02
"3031","7년의 밤","43187","513361","639","9644","한국","씨제이이앤엠(주)",2018-04-02
"3032","레이디 버드","43194","49752","345","3562","미국","유니버설픽쳐스인터내셔널 코리아(유)",2018-04-02
"3033","번개맨과 신비의 섬","43195","36416","191","1108","한국","힘컨텐츠(주),(주)디스테이션",2018-04-02
"3034","콜 미 바이 유어 네임","43181","155275","156","2094","이탈리아","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2018-04-02
"3035","콰이어트 플레이스","43202","21788","206","735","미국","롯데쇼핑㈜롯데엔터테인먼트",2018-04-02
"3036","퍼시픽 림: 업라이징","43180","1073868","434","3093","미국","유니버설픽쳐스인터내셔널 코리아(유)",2018-04-02
"3037","미니특공대X","43181","95568","166","956","한국","(주)삼지애니메이션",2018-04-02
"3038","문호 스트레이독스 [데드 애플]","43195","13418","79","527","일본","(주)애니플러스",2018-04-02
"3039","막달라 마리아: 부활의 증인","43187","25921","104","935","영국","유니버설픽쳐스인터내셔널 코리아(유)",2018-04-02
"3040","소공녀","43181","50057","86","694","한국","CGV아트하우스",2018-04-02
"3041","리틀 포레스트","43159","1502473","112","567","한국","메가박스(주)플러스엠",2018-04-02
"3042","쓰리 빌보드","43174","93690","56","325","미국","이십세기폭스코리아(주)",2018-04-02
"3043","해피 어게인","43187","12329","82","523","미국","(주)엣나인필름",2018-04-02
"3044","머니백","43202","5079","14","21","한국","(주)리틀빅픽쳐스",2018-04-02
"3045","플로리다 프로젝트","43166","88001","26","219","미국","오드",2018-04-02
"3046","팬텀 스레드","43167","25848","47","94","미국","유니버설픽쳐스인터내셔널 코리아(유)",2018-04-02
"3047","밤은 짧아 걸어 아가씨야","43188","4744","40","231","일본","(주)라이크 콘텐츠",2018-04-02
"3048","달링","43202","3962","18","38","영국","(주)팝엔터테인먼트",2018-04-02
"3049","셰이프 오브 워터: 사랑의 모양","43153","503707","24","128","미국","이십세기폭스코리아(주)",2018-04-02
"3050","영웅본색4","43181","10521","12","45","중국","씨네그루(주)키다리이엔티",2018-04-02
"3051","바람의 색","43195","1482","46","283","일본","(주)스톰픽쳐스코리아",2018-04-02
"3052","호랑이보다 무서운 겨울손님","43202","1479","5","8","한국","그린나래미디어(주),무브먼트",2018-04-02
"3053","더 포스트","43159","136310","13","84","미국","CGV아트하우스",2018-04-02
"3054","어떤 휴가",NA,"1099","1","15","미국",NA,2018-04-02
"3055","염력","43131","990109","18","125","한국","(주)넥스트엔터테인먼트월드(NEW)",2018-04-02
"3056","라이프 오브 파이","41275","1594429","2","14","미국","주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2018-04-02
"3057","더 미드와이프","43181","10768","17","103","프랑스","(주)더블앤조이픽쳐스,(주)브리즈픽처스",2018-04-02
"3058","사라진 밤","43166","1315246","81","282","한국","씨네그루(주)키다리이엔티",2018-04-02
"3059","50가지 그림자: 해방","43152","217375","5","40","미국","유니버설픽쳐스인터내셔널 코리아(유)",2018-04-02
"3060","오늘 밤, 로맨스 극장에서",NA,"835","2","5","일본","(주)디스테이션",2018-04-02
"3061","양의 나무",NA,"797","4","10","일본",NA,2018-04-02
"3062","당신의 부탁","43209","923","2","4","한국","CGV아트하우스",2018-04-02
"3063","스파키","43202","688","3","3","한국","예지림엔터테인먼트",2018-04-02
"3064","고향이 어디세요","43048","2275","1","18","한국","(주)드림팩트엔터테인먼트",2018-04-02
"3065","아담과 이브",NA,"824","1","12","미국",NA,2018-04-02
"3066","레드 스패로","43159","107454","5","31","미국","이십세기폭스코리아(주)",2018-04-02
"3067","현상금 사냥꾼",NA,"746","1","12","스페인",NA,2018-04-02
"3068","블랙 팬서","43145","5389696","9","42","미국","월트디즈니컴퍼니코리아 유한책임회사",2018-04-02
"3069","기억을 만나다",NA,"1205","1","20","한국",NA,2018-04-02
"3070","맨 오브 마스크","43202","822","1","2","프랑스","(주)라이크 콘텐츠",2018-04-02
"3071","비밥바룰라","43124","46397","3","3","한국","씨네그루(주)키다리이엔티",2018-04-02
"3072","미성년이지만 어린애는 아냐",NA,"535","4","9","일본","(주)디스테이션",2018-04-02
"3073","그날, 바다","43202","546","1","4","한국","(주)엣나인필름",2018-04-02
"3074","리틀 포레스트: 사계절","43181","2033","10","63","일본","(주)영화사 진진",2018-04-02
"3075","슬랙 베이: 바닷가 마을의 비밀","43195","975","12","63","프랑스","(주)에스와이코마드",2018-04-02
"3076","치즈인더트랩","43173","228896","42","136","한국","(주)리틀빅픽쳐스",2018-04-02
"3077","내 이야기!!","43202","661","4","7","일본","(주)영화사오원",2018-04-02
"3078","허리케인 하이스트","43173","214157","22","57","미국","(주)넥스트엔터테인먼트월드(NEW)",2018-04-02
"3079","궁합","43159","1339712","1","4","한국","씨제이이앤엠(주)",2018-04-02
"3080","무문관","43209","699","1","1","한국","영화사 마농(주)",2018-04-02
"3081","선생님!... 좋아해도 될까요?","43196","392","4","9","일본","(주)스마일이엔티",2018-04-02
"3082","영광의 탈출",NA,"6530","1","4","미국",NA,2018-04-02
"3083","아이다","43194","380","11","18","독일","(주)케빈앤컴퍼니",2018-04-02
"3084","지슬 - 끝나지 않은 세월2","41354","145302","4","11","한국","(주)영화사 진진",2018-04-02
"3085","커뮤터","43124","285514","5","34","영국","메가박스(주)플러스엠",2018-04-02
"3086","토이 가디언즈","43174","14663","8","36","중국","(주)팝엔터테인먼트",2018-04-02
"3087","사운드 오브 뮤직","28525","23760","1","9","미국","(주)팝엔터테인먼트,이십세기폭스코리아(주)",2018-04-02
"3088","부러진 화살",NA,"1982","1","5","미국",NA,2018-04-02
"3089","판타스틱 우먼","43209","1094","1","1","칠레","아이 엠",2018-04-02
"3090","사막의 여우 롬멜",NA,"699","1","6","미국",NA,2018-04-02
"3091","모감보",NA,"9783","1","6","미국",NA,2018-04-02
"3092","위대한 쇼맨","43089","1400678","3","20","미국","이십세기폭스코리아(주)",2018-04-02
"3093","판타스틱 부니베어","43174","17660","3","5","중국","(주)박수엔터테인먼트",2018-04-02
"3094","운동회","43181","4620","9","36","한국","(주)리틀빅픽쳐스",2018-04-02
"3095","암행어사와 흑두건",NA,"668","1","10","한국",NA,2018-04-02
"3096","검은 백조",NA,"2072","1","4","미국",NA,2018-04-02
"3097","호박과 마요네즈",NA,"213","4","11","일본","(주)디스테이션",2018-04-02
"3098","정글번치: 최강 악당의 등장","43209","200","1","1","프랑스","(주)팝엔터테인먼트",2018-04-02
"3099","킹 오브 프리즘","42593","119090","4","8","일본","(주)박수엔터테인먼트",2018-04-02
"3100","공주와 해적",NA,"1532","1","8","미국",NA,2018-04-02
"3101","선셋 대로",NA,"2602","1","4","미국",NA,2018-04-02
"3102","피치걸",NA,"178","4","9","일본","(주)엔케이컨텐츠",2018-04-02
"3103","일주일 그리고 하루","43195","330","9","36","이스라엘","알토미디어(주)",2018-04-02
"3104","검은 수선화",NA,"5136","1","8","영국",NA,2018-04-02
"3105","120 BPM","43174","4852","5","17","프랑스","(주)엣나인필름",2018-04-02
"3106","벤허","26549","48832","1","2","미국","(주)팝엔터테인먼트",2018-04-02
"3107","수성못","43209","418","1","1","한국","㈜인디스토리",2018-04-02
"3108","원죄","43209","151","1","2","한국","이언픽쳐스",2018-04-02
"3109","더 포리너","43138","41054","1","1","영국","(주)더블앤조이픽쳐스,TCO(주)더콘텐츠온",2018-04-02
"3110","삼손","43209","147","1","1","미국","(주)드림팩트엔터테인먼트",2018-04-02
"3111","엄마의 공책","43174","7042","7","34","한국","아이 엠",2018-04-02
"3112","십계","26831","17208","1","2","미국",NA,2018-04-02
"3113","그녀의 인생은 잘못이 없어","43209","139","4","7","일본","(주)엔케이컨텐츠",2018-04-02
"3114","개같은 내인생","32655","138","1","1","스웨덴","㈜영화사 백두대간",2018-04-02
"3115","나미야 잡화점의 기적","43159","192323","4","20","일본","(주)이수C&E",2018-04-02
"3116","블랙회사에 다니고 있는데, 지금 나는 한계에 도달했는지도 모른다",NA,"132","4","8","일본","(주)엔케이컨텐츠",2018-04-02
"3117","새오빠2","43195","129","20","20","한국","(주)영화사가을",2018-04-02
"3118","파파 오랑후탄","43209","155","1","1","한국","파이오니아21",2018-04-02
"3119","내일","43195","250","3","9","프랑스","플랫폼C",2018-04-02
"3120","공동정범","43125","11505","2","5","한국","(주)엣나인필름,(주)시네마달",2018-04-02
"3121","우리는 썰매를 탄다","43166","2427","2","6","한국","(주)콘텐츠 난다긴다",2018-04-02
"3122","히로인 실격",NA,"2490","4","7","일본","(주)엔케이컨텐츠",2018-04-02
"3123","극장판 마법소녀 마도카 마기카(신편): 반역의 이야기","43174","5645","5","20","일본","(주)애니플러스",2018-04-02
"3124","그것만이 내 세상","43117","3417372","1","1","한국","씨제이이앤엠(주)",2018-04-02
"3125","죽음의 천사","43197","110","11","11","미국","(주)인스터피씨엠",2018-04-02
"3126","로미오와 줄리엣",NA,"2652","1","9","영국",NA,2018-04-02
"3127","바나나쏭의 기적","43167","8984","5","25","한국","(주)영화사 그램,(재)CBS",2018-04-02
"3128","목소리의 형태","42864","276233","4","8","일본","(주)디스테이션",2018-04-02
"3129","미치광이 피에로",NA,"691","1","3","프랑스",NA,2018-04-02
"3130","너와 100번째 사랑","42880","80714","3","6","일본","(주)디스테이션",2018-04-02
"3131","스틸라이프","39247","12166","1","3","홍콩","위드시네마",2018-04-02
"3132","소나기","42978","12560","1","1","한국","(주)리틀빅픽쳐스",2018-04-02
"3133","메밀꽃, 운수 좋은 날, 그리고 봄봄","41872","35432","1","1","한국","이달투",2018-04-02
"3134","그 사람 그 사랑 그 세상","41963","42337","1","10","한국","THE 픽쳐스,(주)팝엔터테인먼트",2018-04-02
"3135","당나귀 발타자르",NA,"548","1","3","프랑스",NA,2018-04-02
"3136","콜럼버스","43209","181","1","1","미국","(주)영화사오원",2018-04-02
"3137","솔로몬과 시바의 여왕","26627","6910","1","3","미국",NA,2018-04-02
"3138","프렌즈: 몬스터섬의비밀","40906","549875","2","7","일본","(주)스마일이엔티,(주)에스비에스콘텐츠허브",2018-04-02
"3139","캐롤","42404","320956","1","1","미국","CGV아트하우스",2018-04-02
"3140","백야",NA,"1761","1","11","이탈리아",NA,2018-04-02
"3141","근거리 연애","42988","277","4","9","일본","(주)엔케이컨텐츠",2018-04-02
"3142","인목대비",NA,"2648","1","3","한국",NA,2018-04-02
"3143","마르셀리노","32970","2559","1","4","스페인",NA,2018-04-02
"3144","일식",NA,"3145","1","3","이탈리아",NA,2018-04-02
"3145","여성으로 살아가기 <U+2013>인디피크닉2018",NA,"79","1","1","한국",NA,2018-04-02
"3146","행복을 찾아서","39141","599324","1","1","미국","(주)팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",2018-04-02
"3147","기동전사 건담 디 오리진 I - 푸른 눈의 캬스발",NA,"74","1","2","일본","(주)디스테이션",2018-04-02
"3148","코코","43111","3513055","1","2","미국","월트디즈니컴퍼니코리아 유한책임회사",2018-04-02
"3149","기동전사 건담 디 오리진 IV - 운명의 전야",NA,"73","1","2","일본","(주)디스테이션",2018-04-02
"3150","산상수훈","43076","43054","1","4","한국","이언픽쳐스,(주)그란",2018-04-02
"3151","극장판 프리! <U+2013> 타임리스 메들리 - 약속","43202","72","1","2","일본","(주)디스테이션",2018-04-02
"3152","센소",NA,"363","1","3","이탈리아",NA,2018-04-02
"3153","기동전사 건담 디 오리진 II - 슬픔의 아르테이시아",NA,"69","1","2","일본","(주)디스테이션",2018-04-02
"3154","영웅본색","31920","14682","1","1","홍콩","(유)조이앤시네마",2018-04-02
"3155","기동전사 건담 디 오리진 III - 새벽의 봉기",NA,"66","1","2","일본","(주)디스테이션",2018-04-02
"3156","노르마","43162","1336","7","7","미국","(주)인스터피씨엠",2018-04-02
"3157","대해적",NA,"3941","1","9","미국",NA,2018-04-02
"3158","극장판 프리! <U+2013> 타임리스 메들리 - 인연","43202","63","1","2","일본","(주)디스테이션",2018-04-02
"3159","굿모닝 맨하탄","41676","31396","1","2","인도","(주)인벤트스톤",2018-04-02
"3160","사랑이 꽃피는 지구별 <U+2013>인디피크닉2018",NA,"58","1","1","한국",NA,2018-04-02
"3161","피의 연대기","43118","9940","2","6","한국","KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)",2018-04-02
"3162","베르나데트의 노래",NA,"3267","1","2","미국",NA,2018-04-02
"3163","아이, 토냐","43167","14002","4","9","미국","(주)영화사 진진,(주)누리픽쳐스",2018-04-02
"3164","첩혈쌍웅","32718","960","1","2","홍콩","(유)조이앤시네마",2018-04-02
"3165","원더","43096","257967","1","1","미국","CGV아트하우스",2018-04-02
"3166","영웅본색 2","32346","4635","1","1","홍콩","(유)조이앤시네마",2018-04-02
"3167","국경의 왕",NA,"203","1","1","한국",NA,2018-04-02
"3168","너와 극장에서",NA,"309","1","1","한국",NA,2018-04-02
"3169","스페셜리스트","34657","41","1","2","미국",NA,2018-04-02
"3170","뜨거운 양철 지붕 위의 고양이",NA,"8551","1","3","미국",NA,2018-04-02
"3171","진주 귀걸이를 한 소녀","38233","60755","1","2","영국","(주)영화사 진진,필름뱅크(주)",2018-04-02
"3172","폴리스 스토리","32346","665","1","2","홍콩",NA,2018-04-02
"3173","동방불패","33688","488","1","1","홍콩","스크린조이",2018-04-02
"3174","람보","30484","36","1","2","미국",NA,2018-04-02
"3175","비념","41367","2344","1","3","한국","㈜인디스토리",2018-04-02
"3176","태양의 서커스 월드 어웨이","42375","4308","1","4","미국","주식회사 드림크리에이션",2018-04-02
"3177","오렌지필름 3주년",NA,"34","1","1","한국",NA,2018-04-02
"3178","살인자 말리나의 4막극",NA,"32","1","1","인도네시아",NA,2018-04-02
"3179","이월",NA,"156","1","1","한국",NA,2018-04-02
"3180","엠페도클레스의 죽음",NA,"30","1","1","독일",NA,2018-04-02
"3181","게이트","43159","101164","5","30","한국","(주)제이앤씨미디어그룹",2018-04-02
"3182","툼레이더","43167","540025","3","6","미국","워너브러더스 코리아(주)",2018-04-02
"3183","쿼바디스","26677","15020","1","1","미국",NA,2018-04-02
"3184","죄악의 천사들",NA,"200","1","1","프랑스",NA,2018-04-02
"3185","타클라마칸","43181","831","5","22","한국","(주)드림팩트엔터테인먼트",2018-04-02
"3186","월요일이 사라졌다","43153","903062","4","10","영국","(주)스마일이엔티",2018-04-02
"3187","범죄에 대한 수필(아르치발도 드 라 크루즈의 범죄 인생)","39682","304","1","1","멕시코",NA,2018-04-02
"3188","눈꺼풀","43202","415","2","3","한국","(주)영화사 진진",2018-04-02
"3189","[작은영화영화제]KAFA 초대전",NA,"25","1","1","한국",NA,2018-04-02
"3190","아파치요새","26054","3828","1","1","미국",NA,2018-04-02
"3191","얼굴들",NA,"213","1","1","한국",NA,2018-04-02
"3192","사쿠라다 리셋 <U+2013>전편-","43041","1132","3","6","일본","(주)박수엔터테인먼트",2018-04-02
"3193","킹덤 오브 헤븐","38476","1237269","1","1","미국","이십세기폭스필름코퍼레이션",2018-04-02
"3194","흐르는 강물처럼","34083","3892","1","1","미국",NA,2018-04-02
"3195","코러스","38414","99342","1","2","프랑스","(주)영화사한결",2018-04-02
"3196","아파트 생태계",NA,"364","1","1","한국",NA,2018-04-02
"3197","H 스토리",NA,"34","1","1","일본",NA,2018-04-02
"3198","빌리 엘리어트","36938","26355","2","4","영국","(주)팝엔터테인먼트,유아이피-씨아이씨영화및비디오배급(유)",2018-04-02
"3199","심장소리",NA,"22","1","1","호주",NA,2018-04-02
"3200","무간도","37673","19570","1","1","홍콩","(주)디스테이션,태창엔터테인먼트(주)",2018-04-02
"3201","하늘은 스스로 돕는자를 돕는다",NA,"31","1","1","독일",NA,2018-04-02
"3202","겨울왕국의 무민","43139","12154","1","7","핀란드","(주)팝엔터테인먼트",2018-04-02
"3203","다섯개의 무덤",NA,"27","1","1","미국",NA,2018-04-02
"3204","가브리엘과 산",NA,"20","1","1","브라질",NA,2018-04-02
"3205","퍼펙트 커플",NA,"267","1","1","일본",NA,2018-04-02
"3206","비브르 사 비","35553","775","1","1","프랑스","㈜영화사 백두대간",2018-04-02
"3207","라스트맨 스탠딩","35329","19","1","1","미국",NA,2018-04-02
"3208","백색도시",NA,"252","1","1",NA,NA,2018-04-02
"3209","밀애","26165","18","1","2","미국",NA,2018-04-02
"3210","익사에서 구조된 부뒤",NA,"214","1","1","프랑스",NA,2018-04-02
"3211","감각의 시간, 기억의 공간 <U+2013>인디피크닉2018",NA,"17","1","1","한국",NA,2018-04-02
"3212","살아남은 아이",NA,"218","1","1","한국",NA,2018-04-02
"3213","지구: 놀라운 하루","43153","30194","2","5","영국","(주)리틀빅픽쳐스",2018-04-02
"3214","12 솔져스","43131","223345","4","16","미국","(주)제이앤씨미디어그룹",2018-04-02
"3215","비긴 어게인","41864","3434024","1","1","미국","판씨네마(주)",2018-04-02
"3216","섹스 후, 5일간의 여행","43188","33","3","15","미국","(주)케이알씨지",2018-04-02
"3217","완전범죄: 키드냅","43188","33","3","15","캐나다","(주)케이알씨지",2018-04-02
"3218","환절기","43153","6547","1","4","한국","(주)리틀빅픽쳐스",2018-04-02
"3219","련희와 연희","43083","1016","2","14","한국","M&M 인터내셔널",2018-04-02
"3220","기생-꽃의 고백","43125","1386","2","14","한국","필름에이픽쳐스",2018-04-02
"3221","더 월","43188","26","2","14","노르웨이","(주)드림팩트엔터테인먼트",2018-04-02
"3222","소성리",NA,"160","1","1","한국",NA,2018-04-02
"3223","독일 영년",NA,"27","1","1","이탈리아",NA,2018-04-02
"3224","사라고사의 매뉴스크립트",NA,"162","1","1","폴란드",NA,2018-04-02
"3225","부라더 2018","43195","13","4","13","미국","(주)케이알씨지",2018-04-02
"3226","끝나지 않은 세월",NA,"11","1","2","한국",NA,2018-04-02
"3227","로건 럭키","43173","23327","1","7","미국","(주)스톰픽쳐스코리아",2018-04-02
"3228","이어도",NA,"209","1","2","한국",NA,2018-04-02
"3229","무간지옥","43195","11","5","11","필리핀","(주)드림팩트엔터테인먼트",2018-04-02
"3230","대부업자: 소울 앤 캐시","43195","11","5","11","한국","(주)스토리제이",2018-04-02
"3231","그들 각자의 거리에서 <U+2013>인디피크닉2018",NA,"11","1","1","한국",NA,2018-04-02
"3232","무간도2 - 혼돈의 시대","37960","2546","1","1","홍콩","태창엔터테인먼트(주)",2018-04-02
"3233","터닝메카드W: 반다인의 비밀 특별판","43139","21933","1","4","한국","(주)제이앤씨미디어그룹,(주)투윈글로벌",2018-04-02
"3234","거울의 여자들",NA,"94","1","1","일본",NA,2018-04-02
"3235","돌아온다","43076","13813","2","10","한국","(주)더블앤조이픽쳐스",2018-04-02
"3236","천녀유혼","32116","1893","1","1","홍콩",NA,2018-04-02
"3237","레드헌트",NA,"10","1","2","한국",NA,2018-04-02
"3238","범죄도시","43011","6880512","1","7","한국","메가박스(주)플러스엠,(주)키위미디어그룹",2018-04-02
"3239","유랑극단",NA,"152","1","1",NA,NA,2018-04-02
"3240","천주정","41725","6238","1","3","중국","(주)에스와이코마드",2018-04-02
"3241","러블리 마드리드","43181","39","3","9","스페인","(주)케이알씨지",2018-04-02
"3242","다키스트 아워","43117","37200","1","1","영국","유니버설픽쳐스인터내셔널 코리아(유)",2018-04-02
"3243","사쿠라다 리셋 <U+2013>후편-","43041","1100","2","2","일본","(주)박수엔터테인먼트",2018-04-02
"3244","안나와의 나흘밤",NA,"16","1","1","폴란드",NA,2018-04-02
"3245","색, 계","39394","1925110","1","1","미국","(주)제이앤씨미디어그룹,씨제이엔터테인먼트",2018-04-02
"3246","댄싱 베토벤","43153","6132","2","3","스페인","(주)마노엔터테인먼트",2018-04-02
"3247","러빙 빈센트","43048","408867","1","1","영국","판씨네마(주)",2018-04-02
"3248","쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?","43111","27028","1","7","일본","(주)넥스트엔터테인먼트월드(NEW)",2018-04-02
"3249","오페라의 유령","38329","1577426","1","2","미국","(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,씨제이엔터테인먼트",2018-04-02
"3250","도시괴담","43181","31","2","6","프랑스","(주)드림팩트엔터테인먼트",2018-04-02
"3251","신과함께-죄와 벌","43089","14410748","1","2","한국","롯데쇼핑㈜롯데엔터테인먼트",2018-04-02
"3252","유키와 니나","40374","1396","1","1","프랑스","(주)영화사 진진",2018-04-02
"3253","여행자",NA,"24","1","1","이란",NA,2018-04-02
"3254","명량","41850","17615165","1","3","한국","씨제이이앤엠(주)",2018-04-02
"3255","산하고인","42439","1424","1","3","중국","(주)에스와이코마드",2018-04-02
"3256","정무문","26872","9533","1","1","홍콩","(주)영화사 빅",2018-04-02
"3257","무용","39590","2082","1","3","중국","위드시네마",2018-04-02
"3258","크리스 크로스",NA,"4","1","1","미국",NA,2018-04-02
"3259","완다",NA,"4","1","1","미국",NA,2018-04-02
"3260","구두닦이",NA,"13","1","1","이탈리아",NA,2018-04-02
"3261","새디스트","43181","19","3","3","영국","(주)액티버스엔터테인먼트",2018-04-02
"3262","백년의 노래",NA,"3","1","1","한국",NA,2018-04-02
"3263","지금, 만나러 갑니다","38436","167483","2","2","일본","(주)디스테이션,(주)엔케이컨텐츠,롯데쇼핑㈜롯데엔터테인먼트",2018-04-02
"3264","3월 단편 상상극장-광화문시네마 단편전",NA,"29","1","1","한국",NA,2018-04-02
"3265","알 카포네 스카페이스의 전설","43181","18","2","2","미국","주식회사 풍경소리",2018-04-02
"3266","언더 워터 샤크","43192","2","2","2","미국","(주)케이알씨지",2018-04-02
"3267","슈퍼 빼꼼: 스파이 대작전","42858","99749","1","1","한국","메가박스(주)플러스엠",2018-04-02
"3268","카이: 거울 호수의 전설","42599","24990","1","1","한국","메가박스(주)플러스엠",2018-04-02
"3269","괴물들","43167","3276","1","1","한국","(주)리틀빅픽쳐스",2018-04-02
"3270","맛있는 유혹","43193","1","1","1","한국","(주)케이알씨지",2018-04-02
"3271","이모의 유혹-무삭제","43196","1","1","1","한국","스마일컨텐츠",2018-04-02
"3272","내 아내의 친구","43193","1","1","1","일본","(주)플라이어",2018-04-02
"3273","아내의 섹스 프랜드","43193","1","1","1","일본","(주)플라이어",2018-04-02
"3274","도쿄에 사는 맑은 슬림녀","43193","1","1","1","일본","(주)플라이어",2018-04-02
"3275","일반인",NA,"1","1","1","한국",NA,2018-04-02
"3276","중학교 동창 유부녀","43195","1","1","1","일본","(주)도키엔터테인먼트",2018-04-02
"3277","내남자의 모든것","43195","1","1","1","일본","(주)도키엔터테인먼트",2018-04-02
"3278","미인 아내의 절대복종","43195","1","1","1","일본","(주)도키엔터테인먼트",2018-04-02
"3279","거유 관능소설작가","43195","1","1","1","일본","(주)도키엔터테인먼트",2018-04-02
"3280","다다미방의 유부녀","43195","1","1","1","일본","(주)도키엔터테인먼트",2018-04-02
"3281","바디 컬렉션","43195","1","1","1","미국","(주)퍼스트런",2018-04-02
"3282","헬버스","43195","1","1","1","미국","(주)퍼스트런",2018-04-02
"3283","킬러 도너츠","43195","1","1","1","미국","(주)퍼스트런",2018-04-02
"3284","미녀 방문 마사지사","43195","1","1","1","일본","(주)도키엔터테인먼트",2018-04-02
"3285","귀파주는 밀실가게","43195","1","1","1","일본","(주)도키엔터테인먼트",2018-04-02
"3286","나는 내일, 어제의 너와 만난다","43020","175672","1","1","일본","(주)디스테이션",2018-04-02
"3287","올 더 머니","43132","70295","1","1","미국","판씨네마(주)",2018-04-02
"3288","위크엔드 인 파리","41760","34123","1","1","영국","판씨네마(주)",2018-04-02
"3289","방문/최후의 만찬 - Made in Jeonju 4월",NA,"0","1","1","한국",NA,2018-04-02
"3290","제9회 대구사회복지영화제 <U+2013> 독립단편다큐 2",NA,"0","1","1","한국",NA,2018-04-02
"3291","기억을 잃어버린 때",NA,"0","1","1","일본",NA,2018-04-02
"3292","레드헌트2, 국가범죄",NA,"0","1","1","한국",NA,2018-04-02
"3293","제9회 대구사회복지영화제 <U+2013> 독립단편다큐 1",NA,"0","1","2","한국",NA,2018-04-02
"3294","제9회 대구사회복지영화제 <U+2013> 소나기+볼링블링",NA,"0","1","1","한국",NA,2018-04-02
"3295","제9회 대구사회복지영화제 <U+2013> 그러나...복지를 버리는 시대로+또 하나의 교육",NA,"0","1","1","일본",NA,2018-04-02
"3296","그가 없는 8월이",NA,"0","1","1","일본",NA,2018-04-02
"3297","제9회 대구사회복지영화제 <U+2013> 독립단편애니",NA,"0","1","2","한국",NA,2018-04-02
"3298","제9회 대구사회복지영화제 <U+2013> 환경과 복지: 충돌하는 세계 단편모음",NA,"0","1","1","기타",NA,2018-04-02
"3299","제9회 대구사회복지영화제 <U+2013> #봉기하라+체르노빌의 할머니들",NA,"0","1","1","기타",NA,2018-04-02
"3300","제9회 대구사회복지영화제 <U+2013> 버차이나 모놀로그+우리가 여기에 있다",NA,"0","1","1","중국",NA,2018-04-02
"3301","제9회 대구사회복지영화제 <U+2013> 복지와 정치 : 소수자들의 정치학 단편모음",NA,"0","1","1","기타",NA,2018-04-02
"3302","제9회 대구사회복지영화제 <U+2013> 투 러시아 위드 러브+급진예술과 행동강령",NA,"0","1","1","기타",NA,2018-04-02
"3303","라 보엠","43191","0","3","6","영국","에스디시코리아 주식회사",2018-04-02
"3304","마사와 니키",NA,"0","1","2","스웨덴",NA,2018-04-02
"3305","철도원",NA,"454","1","1","이탈리아",NA,2018-04-02
"3306","사랑아 나는 통곡한다",NA,"4647","1","1","미국",NA,2018-04-02
"3307","샤오홍",NA,"145","1","1","중국",NA,2018-04-02
"3308","퇴마: 무녀굴","42236","120802","1","1","한국","씨네그루(주)다우기술",2018-04-02
"3309","시 읽는 시간",NA,"226","1","1","한국",NA,2018-04-02
"3310","앤서니 위너: 선거이야기",NA,"22","1","1","미국",NA,2018-04-02
