"","people","mv_name","screen","play_t","play_wk","re_open","top_country","record_month","record_date","month_week","top_sup"
"12059",7,"하늘의 가장자리에서",1,2,1,0,0,"3",17,"3",0
"12060",624,"하늘의 황금마차",7,8,7,0,1,"1",30,"5",0
"12061",15,"하드 로맨티커",5,15,3,0,1,"2",18,"3",0
"12062",1,"하드 킬러스",1,1,1,0,0,"1",11,"2",0
"12063",54,"하드코어 디스코",1,1,1,0,1,"3",5,"1",0
"12064",1,"하드코어 미망인",1,1,1,0,1,"4",29,"5",0
"12065",46373,"하드코어 헨리",282,3060,6,0,1,"1",5,"1",0
"12066",1126344,"하루",1925,45263,17,0,0,"2",16,"3",0
"12067",200,"하류",3,3,3,0,0,"4",25,"4",0
"12068",62,"하류인생",2,2,2,1,1,"3",29,"5",0
"12069",2750,"하비",3,33,3,0,0,"1",9,"2",0
"12070",2718,"하숙생",6,36,5,0,1,"1",25,"4",0
"12071",10,"하숙생 씻겨주는 과부",1,1,1,0,1,"4",3,"1",0
"12072",630,"하숙집",26,31,3,0,1,"4",19,"3",0
"12073",1,"하숙집-미모의 여주인",1,1,1,0,1,"4",14,"2",0
"12074",1266,"하숙집 2",22,46,2,0,1,"4",7,"1",0
"12075",60,"하숙집 2 (무삭제)",1,1,1,0,1,"2",16,"3",0
"12076",1,"하숙집 누나의 욕정",1,1,1,0,1,"4",15,"3",0
"12077",1,"하숙집 러브스토리",1,1,1,0,1,"4",22,"4",0
"12078",1,"하숙집 무삭제",1,1,1,0,1,"3",3,"1",0
"12079",1,"하숙집 미망인: 그룹섹스",1,1,1,0,1,"3",22,"4",0
"12080",1,"하숙집 여주인",1,1,1,0,1,"1",18,"3",0
"12081",10,"하숙집 자매: 총각",1,1,1,0,1,"3",26,"4",0
"12082",1,"하숙집: 아줌마와 세 남자",1,1,1,0,1,"4",9,"2",0
"12083",10,"하숙집: 음란한 사생활",1,1,1,0,1,"4",3,"1",0
"12084",1766,"하얀 까마귀",4,37,4,0,1,"3",1,"1",0
"12085",21,"하얀 날",1,1,1,0,0,"2",4,"1",0
"12086",1,"하얀 여관주인의 피부",1,1,1,0,1,"1",9,"2",0
"12087",9,"하얀 이끼",1,2,1,0,0,"1",5,"1",0
"12088",60,"하얼빈대전투: 일본군최후의날",1,1,1,0,0,"2",28,"4",0
"12089",2282,"하오의 연정",6,36,6,0,1,"1",5,"1",0
"12090",1,"하오의 음몽 무삭제판",1,1,1,0,1,"4",3,"1",0
"12091",43,"하와이언 레시피",1,2,1,1,1,"4",5,"1",0
"12092",447,"하우 투 체인지 더 월드",5,6,5,0,0,"1",5,"1",0
"12093",1,"하우 투 플랜 언 오지 인 어 스몰 타운",1,1,1,0,0,"3",10,"2",0
"12094",10,"하우스 오브 다크",1,1,1,0,0,"2",25,"4",0
"12095",8,"하우스바운드",2,6,1,0,0,"2",23,"4",0
"12096",1037,"하울의 움직이는 성",11,34,6,1,1,"4",1,"1",0
"12097",24600,"하이-라이즈",248,2129,10,0,0,"1",17,"3",0
"12098",3243,"하이 눈",5,53,5,0,1,"4",5,"1",0
"12099",29,"하이 사인 & 제물 & 극장",3,3,3,0,1,"1",14,"2",0
"12100",1,"하이 소사이어티",1,1,1,0,0,"2",22,"4",0
"12101",23496,"하이 스피드! ?프리! 스타팅 데이즈-",153,1389,5,0,1,"1",17,"3",0
"12102",30,"하이랜더",3,3,3,1,1,"4",24,"4",0
"12103",352,"하이앤로우 더 레드 레인",5,21,2,0,1,"3",27,"4",0
"12104",157,"하이앤로우 더 무비",3,16,1,0,1,"1",23,"4",0
"12105",60,"하이에나 로드",1,1,1,0,0,"3",8,"2",0
"12106",15,"하이재킹",1,1,1,0,0,"4",26,"4",0
"12108",37480,"하이큐!! 승자와 패자",334,2224,9,0,1,"4",22,"4",0
"12109",41,"하이킥 엔젤스",4,22,2,0,1,"4",1,"1",0
"12110",3701,"하타리",7,44,7,0,0,"3",10,"2",0
"12111",61,"하트 브레이커",1,2,1,1,0,"3",22,"4",0
"12112",719,"하트 비트",12,24,12,1,0,"4",15,"3",0
"12113",809827,"하트 오브 더 씨",1181,29221,6,0,1,"3",26,"4",0
"12114",538,"하프",21,114,6,0,1,"4",14,"2",0
"12115",281,"하하하",5,17,5,1,1,"3",17,"3",0
"12116",27,"학교 가는 길",2,2,2,1,0,"1",23,"4",0
"12117",6620,"학교괴담 : 저주의 언령",73,671,3,0,1,"2",25,"4",0
"12118",1,"학부형과 이성을 잃을때",1,1,1,0,1,"4",29,"5",0
