순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
65,아더왕의 전설,2016-11-09,"7,422,000",0.0%,"10,628,000",434,679,3,14,한국,한국,(주)패뷸러스,(주)패뷸러스,전체관람가,"공연,뮤지컬",정성복,카미유 루
66,브리짓 존스의 베이비,2016-09-28,"3,671,500",0.0%,"6,678,585,874",427,"820,995",4,29,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,멜로/로맨스",샤론 맥과이어,"르네 젤위거,콜린 퍼스,패트릭 뎀시"
67,인천상륙작전,2016-07-27,"1,980,000",0.0%,"55,093,519,303",396,"7,048,038",1,3,한국,한국,(주)태원엔터테인먼트,씨제이이앤엠(주),12세이상관람가,"전쟁,드라마",이재한,"김정철,이정재,이범수,리암 니슨,진세연,정준호,박철민,김병옥,김선아,김영애,박성웅,추성훈,황석하,이창세,박정원,박현선,션 리차드,이유진,한비,김희진"
68,"불량소녀, 너를 응원해!",2016-09-21,"1,599,000",0.0%,"139,686,000",382,"17,679",2,4,일본,일본,,글뫼 주식회사,12세이상관람가,드라마,도이 노부히로,"아리무라 카스미,이토 아츠시,요시다 요,타나카 테츠시,노무라 슈헤이"
69,누구를 위하여 종은 울리나,1972-03-18,"1,002,000",0.0%,"21,485,586",334,"12,775",1,3,미국,미국,파라마운트 픽쳐스,,미정,"드라마,멜로/로맨스,전쟁",샘 우드,"잉그리드 버그만,게리 쿠퍼"
70,말 없는 사나이,,"636,000",0.0%,"9,011,000",328,"3,742",1,6,미국,미국,,,전체관람가,"코미디,드라마,멜로/로맨스",존 포드,"존 웨인,모린 오하라,배리 피츠제럴드"
71,내 마음의 풍금,1999-03-27,"969,000",0.0%,"2,989,000",323,"1,259",1,12,한국,한국,아트힐(주),,모든 관람객이 관람할 수 있는 등급,"멜로/로맨스,드라마",이영재,"이병헌,전도연,이미연,송옥숙,이인철,이대연,김일우,남덕우,김은미,신신애(신금애)"
72,극장판 꼬마버스 타요의 에이스 구출작전,2016-01-21,"1,855,000",0.0%,"902,137,000",319,"134,704",4,10,한국,한국,"(주)아이코닉스,(주)스튜디오게일",(주)아이코닉스,전체관람가,애니메이션,류정우,
73,아브릴과 조작된 세계,2016-12-15,"2,841,000",0.0%,"2,841,000",310,310,3,11,프랑스,"프랑스,벨기에,캐나다",,(주)영화사 진진,12세이상관람가,"애니메이션,어드벤처,코미디","크리스티앙 데마르,프랑크 에킨시",
74,퍼스널 쇼퍼,2017-02-09,"2,571,500",0.0%,"2,571,500",305,305,3,8,프랑스,프랑스,,아이 엠,15세이상관람가,"드라마,스릴러",올리비에 아사야스,크리스틴 스튜어트
