순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
45,건힐의 결투,,1173000 ,0,1173000 ,605 ,605 ,1 ,12 ,미국,미국,,,,"스릴러,서부극(웨스턴)",존 스터지스,"커크 더글라스,앤소니 퀸"
46,지상 최대의 작전,,1215000 ,0,5979000 ,602 ,2984 ,1 ,3 ,,,,,,,,
47,러브레터,1999-11-20,5101000 ,0,370334592 ,586 ,50559 ,3 ,14 ,일본,일본,후지텔레비젼네트웍,"(유)조이앤시네마,(주)팝엔터테인먼트",전체관람가,"멜로/로맨스,드라마",이와이 슌지,"나까야마 미호,토요카와 에츠시,사카이 미키"
48,청춘의 증언,2015-04-09,1894000 ,0,62298100 ,581 ,8622 ,1 ,15 ,영국,영국,,판씨네마(주),12세이상관람가,드라마,제임스 켄트,"알리시아 비칸데르,킷 해링턴,태런 에저튼,콜린 모건"
49,"나의 아들, 나의 어머니",2015-12-17,3320000 ,0,28231800 ,523 ,3924 ,10 ,61 ,한국,한국,"창작집단917,민프로덕션",(주)인디플러그,전체관람가,다큐멘터리,안재민,
50,누구를 위하여 종은 울리나,1972-03-18,1040000 ,0,19281586 ,519 ,11840 ,1 ,9 ,미국,미국,파라마운트 픽쳐스,,미정,"드라마,멜로/로맨스,전쟁",샘 우드,"잉그리드 버그만,게리 쿠퍼"
51,검은 사제들,2015-11-05,2700000 ,0,42407532092 ,450 ,5442503 ,5 ,17 ,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철"
52,하트 오브 더 씨,2015-12-03,3424000 ,0,6780844023 ,428 ,809827 ,1 ,2 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,드라마",론 하워드,"크리스 헴스워스,킬리언 머피,벤 위쇼,샬롯 라일리,브렌단 글리슨,벤자민 워커"
53,미션,1986-12-24,848000 ,0,88016748 ,424 ,25938 ,1 ,6 ,영국,영국,,(주)피터팬픽쳐스,"12세이상관람가,국민학생관람불가,15세이상관람가",드라마,롤랑 조페,"로버트 드니로,제레미 아이언스,에이단 퀸"
54,태양의 서커스 월드 어웨이,2016-01-06,6604750 ,0,6604750 ,416 ,416 ,12 ,24 ,미국,미국,,주식회사 드림크리에이션,전체관람가,공연,앤드류 아담슨,제이슨 베런트
55,애수의 샌프란시스코,1975-03-28,796000 ,0,796000 ,405 ,405 ,1 ,8 ,한국,한국,(주)동아수출공사,,전체관람가,멜로/로맨스,정소영,"신영균,양정화"
56,연인들,2015-12-31,2518500 ,0,2518500 ,402 ,402 ,5 ,35 ,독일,"독일, 오스트리아,스위스",,THE 픽쳐스,청소년관람불가,드라마,도미니크 그라프,"한나 헤르츠스프룽,플로리안 슈테터,헨리에트 컨퓨리어스,로널드 제르펠트"
57,크림슨 피크,2015-11-25,2831000 ,0,379765400 ,380 ,46735 ,1 ,7 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"판타지,스릴러",길예르모 델 토로,"톰 히들스턴,제시카 차스테인,미아 와시코브스카,찰리 허냄"
58,역마차,,738000 ,0,10997000 ,369 ,4661 ,1 ,8 ,미국,미국,,,,서부극(웨스턴),존 포드,"존 웨인,클레어 트레버,앤디 데빈,존 캐러딘"
59,1944,2015-12-23,1800000 ,0,4420000 ,360 ,880 ,1 ,6 ,에스토니아,"에스토니아,핀란드",,(주)소나무픽쳐스,15세이상관람가,"전쟁,액션,드라마",엘모 누가넨,"카스파 벨버그,마이켄 슈미트,마르코 레트"
60,레전드,2015-12-10,3096000 ,0,1439444930 ,344 ,180082 ,2 ,3 ,프랑스,"프랑스,영국",,(주)이수C&E,청소년관람불가,"액션,범죄,드라마",브라이언 헬겔랜드,"톰 하디,태런 에저튼,에밀리 브라우닝"
61,프랑스 영화처럼,2016-01-14,2742000 ,0,2742000 ,343 ,343 ,1 ,4 ,한국,한국,(주) 루스이소니도스,(주)콘텐츠판다,15세이상관람가,드라마,신연식,"이영란,전지윤,다솜,정준원,소이,스티븐 연,신민철,봉만대,후지이 미나,정한비,신지수,이유미"
62,미스트리스 아메리카,2015-12-10,2438000 ,0,64963800 ,308 ,7918 ,2 ,24 ,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"코미디,드라마",노아 바움백,"그레타 거윅,롤라 커크"
63,바다의 노래: 벤과 셀키요정의 비밀,2016-01-14,2656000 ,0,4495000 ,307 ,663 ,1 ,2 ,아일랜드,"아일랜드,덴마크,벨기에,룩셈부르크,프랑스",,(주)영화사 진진,전체관람가,"애니메이션,가족,판타지",톰 무어,
63,파리오페라발레 갈라쇼,2015-05-02,3558000 ,0,32968500 ,307 ,2120 ,12 ,12 ,프랑스,프랑스,,에스디시코리아 주식회사,전체관람가,공연,브리지트 르페브르,
